Table,inicio,varinicio,varfim,PT_V,id,inteiro,real,lit,leia,escreva,Literal,Num,RCB,OPM,se,AB_P,FC_P,entao,OPR,fimse,fim,EOF,P',P,V,LV,D,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CABEÃ‡ALHO,EXP_R,CORPO
0,S2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,Acc,,,,,,,,,,,,,,,,
2,,S4,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
3,,,,,S16,,,,S14,S15,,,,,S18,,,,,,S13,,,,,,,,5,10,,11,,,12,17,,
4,,,S9,,S8,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,R2,,,,,,,,,,,,,,,,
6,,,,,R3,,,,R3,R3,,,,,R3,,,,,,R3,,,,,,,,,,,,,,,,,
7,,,S9,,S8,,,,,,,,,,,,,,,,,,,,,21,7,,,,,,,,,,,
8,,,,,,S24,S25,S26,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,
9,,,,S22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,S16,,,,S14,S15,,,,,S18,,,,,,S13,,,,,,,,28,10,,11,,,12,17,,
11,,,,,S16,,,,S14,S15,,,,,S18,,,,,,S13,,,,,,,,30,10,,11,,,12,17,,
12,,,,,S16,,,,S14,S15,,,,,S18,,,,,,S13,,,,,,,,31,10,,11,,,12,17,,
13,,,,,,,,,,,,,,,,,,,,,,R30,,,,,,,,,,,,,,,,
14,,,,,S19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,S35,,,,,,S33,S34,,,,,,,,,,,,,,,,,,,32,,,,,,,
16,,,,,,,,,,,,,S36,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,S16,,,,S14,S15,,,,,S18,,,,,S43,,,,,,,,,,40,,41,,,42,17,,38
18,,,,,,,,,,,,,,,,S39,,,,,,,,,,,,,,,,,,,,,,
19,,,,S20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,R11,,,,R11,R11,,,,,R11,,,,,R11,R11,,,,,,,,,,,,,,,,,
21,,,,,R4,,,,R4,R4,,,,,R4,,,,,,R4,,,,,,,,,,,,,,,,,
22,,,,,R5,,,,R5,R5,,,,,R5,,,,,,R5,,,,,,,,,,,,,,,,,
23,,,,S27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,R8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,R6,,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,R10,,,,,,,,,,,,,,,,
29,,,,R18,R18,,,,R18,R18,,,,,R18,,,,,,R18,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,R16,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,R22,,,,,,,,,,,,,,,,
32,,,,S37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,R13,,,,,R13,R13,,,,,R13,,,,,,R13,,,,,,,,,,,,,,,,,
34,,,,R14,,,,,R14,R14,,,,,R14,,,,,,R14,,,,,,,,,,,,,,,,,
35,,,,R15,,,,,R15,R15,,,,,R15,,,,,,R15,,,,,,,,,,,,,,,,,
36,,,,,S46,,,,,,,S47,,,,,,,,,,,,,,,,,,,,,55,57,,,,
37,,,,,R12,,,,R12,R12,,,,,R12,,,,,R12,R12,,,,,,,,,,,,,,,,,
38,,,,,R23,,,,R23,R23,,,,,R23,,,,,R23,R23,,,,,,,,,,,,,,,,,
39,,,,,S46,,,,,,,S47,,,,,,,,,,,,,,,,,,,,,,45,,,44,
40,,,,,S16,,,,S14,S15,,,,,S18,,,,,S43,,,,,,,,,,40,,41,,,42,17,,52
41,,,,,S16,,,,S14,S15,,,,,S18,,,,,S43,,,,,,,,,,,,41,,,42,17,,53
42,,,,,S16,,,,S14,S15,,,,,S18,,,,,S43,,,,,,,,,,,,41,,,42,17,,54
43,,,,,R29,,,,R29,R29,,,,,R29,,,,,R29,R29,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,S48,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,S50,,,,,,,,,,,,,,,,,,,
46,,,,R20,R20,,,,R20,R20,,,,R20,R20,,R20,,R20,,R20,,,,,,,,,,,,,,,,,
47,,,,R21,R21,,,,R21,R21,,,,R21,R21,,R21,,R21,,R21,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,S49,,,,,,,,,,,,,,,,,,,,
49,,,,,R24,,,,R24,R24,,,,,R24,,,,,R24,,,,,,,,,,,,,,,,,,
50,,,,,S46,,,,,,,S47,,,,,,,,,,,,,,,,,,,,,,51,,,,
51,,,,,,,,,,,,,,,,,R25,,,,,,,,,,,,,,,,,,,,,
52,,,,,R26,,,,R26,R26,,,,,R26,,,,,R26,R26,,,,,,,,,,,,,,,,,
53,,,,,R27,,,,R27,R27,,,,,R27,,,,,R27,R27,,,,,,,,,,,,,,,,,
54,,,,,R28,,,,R28,R28,,,,,R28,,,,,R28,R28,,,,,,,,,,,,,,,,,
55,,,,S56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,R17,,,,R17,R17,,,,,R17,,,,,R17,R17,,,,,,,,,,,,,,,,,
57,,,,R19,R19,,,,R19,R19,,,,S58,R19,,,,,,R19,,,,,,,,,,,,,,,,,
58,,,,,S46,,,,,,,S47,,,,,,,,,,,,,,,,,,,,,,29,,,,